Fp1,Fp2,F7,F3,Fz,F4,F8,FC3,FCz,FC4,T7,C3,Cz,C4,T8,CP3,CPz,CP4,P7,P3,Pz,P4,P8,O1,Oz,O2,VPVA,VNVB,HPHL,HNHR,Erbs,OrbOcc,Mass
-8884.229158100328,-11678.118454782583,-7710.896040263927,1850.3163990221524,-121.7817005358244,-25854.92636028089,-18055.18802843596,-2163.2721549586245,630.8681086490028,-1098.858682732833,-8641.92059165553,-3159.046173095702,1892.8552928723784,-800.3335250051396,-10759.579507928143,-5027.4321907445,2266.6705282110916,1363.4405638042247,-8244.200756675318,-4553.041960063732,1762.9799089933695,690.5982368870784,1947.6288243343956,-3119.456140618575,-10949.93792082134,-9863.690326088352,-12981.766148617393,-17474.513304860968,-7982.630478708366,-2810.390372025339,-1082.6085743151211,-8589.280279059158,-5029.628151341488
-8882.409647891394,-11676.863620155735,-7709.327496980365,1852.0104257684004,-120.52686590897407,-25852.667657952556,-18054.12141900313,-2162.017320331774,633.8169700221009,-1098.0430402253803,-8641.544141267474,-3158.5442392449622,1893.2317432604336,-799.8315911543996,-10760.332408704255,-5027.369449013157,2267.360687255859,1363.1268551475123,-8244.514465332031,-4553.23018525776,1762.9171672620269,690.2217864990233,1944.1780291105567,-3120.648233514082,-10949.373245239256,-9863.815809551037,-12984.840493453175,-17475.39168909976,-7981.626611006886,-2810.7040806820514,-1085.369210494192,-8589.280279059158,-5029.565409610145
-8882.346906160052,-11677.114587081103,-7708.009920622173,1853.4534855892784,-120.15041552091898,-25852.102982370478,-18053.870452077765,-2160.574260510896,635.1972881116365,-1097.4783646432975,-8641.042207416735,-3157.916821931537,1894.486577887284,-799.5806242290295,-10760.45789216694,-5026.8675151624175,2267.360687255859,1363.56604726691,-8243.51059763055,-4553.606635645816,1764.1092601575347,690.0335613049958,1943.550611797132,-3120.020816200657,-10948.369377537776,-9863.12565050627,-12986.660003662108,-17473.57217889083,-7980.1208094546655,-2811.017789338764,-1085.7456608822467,-8586.896093268142,-5028.43605844598
-8883.476257324217,-11678.745872096008,-7707.570728502775,1853.3280021265928,-120.84057456568667,-25853.734267385375,-18054.811578047906,-2160.574260510896,634.1306786788136,-1098.0430402253803,-8641.16769087942,-3158.2932723195927,1894.988511738024,-801.0864257812499,-10761.02256774902,-5027.620415938527,2266.0431108976663,1363.691530729595,-8242.569471660412,-4554.924212004009,1764.5484522769325,689.1551770662006,1944.4917377672691,-3118.891465036492,-10948.620344463146,-9863.251133968957,-12986.032586348683,-17470.435092323703,-7979.493392141241,-2811.017789338764,-1080.914547568873,-8583.319814581617,-5027.055740356444
-8884.0409329063,-11679.122322484063,-7706.692344263979,1853.202518663908,-120.84057456568667,-25855.2400689376,-18055.18802843596,-2160.887969167609,633.1268109773334,-1099.1723913895455,-8641.355916073446,-3158.48149751362,1894.6748030813117,-802.6549690648128,-10761.587243331103,-5028.93799229672,2265.0392431961855,1363.8797559236225,-8242.130279541014,-4555.865337974145,1764.3602270829049,688.4022762900904,1944.9309298866672,-3118.264047723067,-10949.561470433284,-9863.815809551037,-12983.773884020353,-17467.298005756576,-7978.74049136513,-2809.386504323859,-1072.6953807630036,-8580.182728014493,-5027.118482087787
-8883.225290398848,-11677.679262663187,-7706.127668681896,1853.6417107833056,-119.58573993883634,-25854.361684698804,-18054.435127659846,-2160.637002242239,633.3150361713609,-1099.6743252402855,-8640.91672395405,-3157.97956366288,1894.1728692305717,-802.5922273334702,-10761.649985062448,-5029.6908930728305,2264.8510180021585,1364.5071732370475,-8241.628345690273,-4555.551629317433,1764.4857105455899,688.3395345587479,1944.1152873792144,-3118.389531185752,-10950.439854672079,-9864.443226864463,-12981.766148617393,-17465.478495547643,-7977.234689812912,-2806.8140933388154,-1065.6055651212992,-8579.680794163753,-5027.620415938527
-8883.099806936163,-11676.738136693048,-7707.382503308746,1853.2652603952504,-118.7700974313836,-25852.855883146585,-18054.184160734476,-2160.887969167609,633.1268109773334,-1099.9880338969983,-8640.91672395405,-3157.72859673751,1893.1690015290912,-801.9648100200451,-10761.838210256476,-5029.941859998201,2264.4745676141038,1364.695398431075,-8241.063670108191,-4554.735986809981,1764.6739357396175,688.5277597527754,1942.797711021021,-3118.954206767835,-10951.318238910875,-9865.070644177888,-12981.640665154704,-17466.10591286107,-7976.670014230827,-2806.4376429507606,-1061.1509021959805,-8582.127721686113,-5026.804773431074
-8885.609476189864,-11677.9929713199,-7710.143139487817,1851.5712336490024,-119.96219032689145,-25853.922492579408,-18055.940929212065,-2162.6447376451993,631.5582676937705,-1101.3056102551911,-8642.610750700298,-3158.23053058825,1891.2240078574728,-802.3412604081003,-10763.030303151983,-5030.255568654913,2263.2824747185955,1363.56604726691,-8241.377378764904,-4555.049695466692,1763.6073263067947,688.0258259020353,1941.9193267822263,-3119.958074469315,-10952.133881418327,-9865.760803222654,-12983.648400557668,-17467.674456144632,-7978.364040977075,-2809.449246055201,-1059.519617181075,-8585.013841327867,-5025.863647460937
-8888.934787951017,-11680.188931916888,-7712.401841816147,1849.9399486340967,-122.1581509238795,-25856.99683741519,-18058.199631540396,-2165.1544068989,629.3623070967824,-1103.0623787327816,-8644.869453028627,-3159.108914827045,1889.1535307231695,-803.2823863782381,-10765.038038554943,-5031.008469431024,2261.964898360403,1361.9975039833469,-8242.067537809673,-4556.680980481599,1761.9760412918893,687.1474416632401,1942.4212606329663,-3120.5227500513975,-10952.384848343696,-9865.949028416682,-12986.660003662108,-17469.36848289088,-7981.563869275542,-2812.90004127904,-1060.8999352706105,-8587.084318462172,-5026.491064774362
-8891.946391055457,-11681.00457442434,-7712.339100084806,1849.312531320672,-123.22476035670228,-25859.192798012176,-18059.266240973215,-2166.2210163317222,628.3584393953022,-1103.627054314864,-8645.810578998764,-3159.548106946443,1888.3378882157172,-803.1569029155529,-10766.041906256423,-5031.133952893709,2261.2119975842925,1361.6837953266343,-8241.879312615645,-4557.810331645765,1761.223140515779,686.8337330065275,1944.052545647872,-3119.7698492752875,-10951.506464104901,-9865.196127640573,-12987.789354826273,-17471.87815214458,-7984.889181036698,-2813.90390898052,-1064.6644391511616,-8588.966570402446,-5027.871382863897
